2022-06-01 04:52:00.599  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] c.c.PensionManagementPortalApplication   : Starting PensionManagementPortalApplication using Java 1.8.0_301 on intuitdepfceb5 with PID 71753 (/Users/bshree/git/personal/pms-finalworking/Pension-Management-portall/target/classes started by bshree in /Users/bshree/git/personal/pms-finalworking/Pension-Management-portall)
2022-06-01 04:52:00.606  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] c.c.PensionManagementPortalApplication   : No active profile set, falling back to default profiles: default
2022-06-01 04:52:00.696  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-06-01 04:52:00.697  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-06-01 04:52:01.882  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-06-01 04:52:01.903  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 10 ms. Found 0 JPA repository interfaces.
2022-06-01 04:52:02.427  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=d95500e3-ea95-3539-9bdb-7e8f22f0fe12
2022-06-01 04:52:03.997  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9085 (http)
2022-06-01 04:52:04.015  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-06-01 04:52:04.015  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-06-01 04:52:04.165  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-06-01 04:52:04.165  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 3467 ms
2022-06-01 04:52:04.271  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-06-01 04:52:04.629  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-06-01 04:52:04.643  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:933b6048-1ecd-461c-bf9a-141e8cb44fc5'
2022-06-01 04:52:05.265  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-06-01 04:52:05.342  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-06-01 04:52:05.500  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-06-01 04:52:05.650  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-06-01 04:52:05.923  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-06-01 04:52:05.934  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-06-01 04:52:06.002  WARN [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-06-01 04:52:06.304  WARN [Pension-Management-Portal,,] 71753 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-06-01 04:52:08.244  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestTemplate.
2022-06-01 04:52:08.466  WARN [Pension-Management-Portal,,] 71753 --- [restartedMain] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2022-06-01 04:52:08.569  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2022-06-01 04:52:08.688  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2022-06-01 04:52:08.697  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-06-01 04:52:08.733  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2022-06-01 04:52:08.733  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2022-06-01 04:52:08.734  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2022-06-01 04:52:08.734  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Application is null : false
2022-06-01 04:52:08.734  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2022-06-01 04:52:08.734  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2022-06-01 04:52:08.734  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2022-06-01 04:52:09.386  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : The response status is 200
2022-06-01 04:52:09.389  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2022-06-01 04:52:09.393  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2022-06-01 04:52:09.398  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1654039329397 with initial instances count: 2
2022-06-01 04:52:09.407  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application PENSION-MANAGEMENT-PORTAL with eureka with status UP
2022-06-01 04:52:09.407  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1654039329407, current=UP, previous=STARTING]
2022-06-01 04:52:09.410  INFO [Pension-Management-Portal,,] 71753 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_PENSION-MANAGEMENT-PORTAL/192.168.18.10:Pension-Management-Portal:9085: registering service...
2022-06-01 04:52:09.444  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9085 (http) with context path ''
2022-06-01 04:52:09.445  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 9085
2022-06-01 04:52:09.449  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-06-01 04:52:09.469  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-06-01 04:52:09.486  INFO [Pension-Management-Portal,,] 71753 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_PENSION-MANAGEMENT-PORTAL/192.168.18.10:Pension-Management-Portal:9085 - registration status: 204
